months,mujeresenfermas,mujerescuradas,mujeresfallecidas
2039.75,444051.221318,399.646099186,132.105238342
2039.833,447300.725793,402.570653214,133.071965923
2039.917,450550.812381,405.495731143,134.038866683
2040.0,453801.179009,408.421061108,135.005850755
2040.083,457051.527639,411.346374875,135.972829473
2040.167,460301.564642,414.271408178,136.939715481
2040.25,463551.001172,417.195901055,137.906422849
2040.333,466799.553528,420.119598175,138.872867175
2040.417,470046.943525,423.042249173,139.838965699
2040.5,473292.898858,425.963608972,140.80463741
2040.583,476537.153461,428.883438115,141.769803155
2040.667,479779.447869,431.801503082,142.734385741
2040.75,483019.529572,434.717576615,143.698310048
2040.833,486257.153367,437.631438031,144.661503127
2040.917,489492.081712,440.542873541,145.623894309
2041.0,492724.085067,443.45167656,146.585415307
2041.083,495952.942237,446.357648014,147.546000316
2041.167,499178.440715,449.260596644,148.505586113
2041.25,502400.377012,452.160339311,149.464112161
2041.333,505618.556989,455.05670129,150.421520704
2041.417,508832.796187,457.949516569,151.377756866
2041.5,512042.920146,460.838628131,152.332768743
2041.583,515248.764722,463.72388825,153.286507505
2041.667,518450.176407,466.605158767,154.238927481
2041.75,521647.012632,469.482311369,155.189986258
2041.833,524839.142075,472.355227868,156.139644767
2041.917,528026.444961,475.223800465,157.087867376
2042.0,531208.813358,475.223800465,157.087867376
